Outward,lat,lon
BA21,50.951148745837955,355566.6803551609
BA22,50.969143642384104,355283.1854304636
BA3,51.4331095247725,368742.05273833673
BA4,51.17463083743842,362809.157635468
BA5,51.49859715686274,354340.10355029587
BA6,51.824424930291514,350474.177377892
BA7,51.08967418032787,363727.49590163934
BA8,51.000288776371306,371254.2658227848
BA9,51.46464929313929,371343.46331236896
BB0,53.75346,369487.0
BB1,53.75527158631415,369386.8278900985
BB10,53.79936186842105,385518.6228070175
BB11,53.78484004123711,383578.90790378005
BB12,53.80196560260587,381064.5944625407
BB18,54.119325051698674,388763.56824925815
BB2,53.74161513663733,367249.8531727652
BB3,53.735936806930695,369334.4715111478
BB4,53.703479034369884,380886.23622476816
BB5,53.754509033333335,375551.0552380952
BB6,53.80366953586498,372735.9887482419
BB7,53.87166711473184,374509.61099796335
BB8,53.879032890778284,389046.40287769784
BB9,53.83696616204691,385887.70309168444
BB94,53.915486190476194,390891.8095238095
BD1,53.79733156131479,416280.74715549935
BD10,53.831054683406116,418100.5491266376
BD11,53.75026710106383,421351.82446808513
BD12,53.74789711978465,415768.4764468371
BD13,54.341841412671236,409594.87088388216
BD14,53.7832305734767,412095.72401433694
BD15,53.808060975609756,410951.2264808362
BD16,54.27355079831933,411207.9465648855
BD17,53.8450623452381,415297.7607142857
BD18,54.65888630434783,414830.83060635225
BD19,54.33922090631365,418942.8111455108
BD2,53.81415972758229,417502.6992054483
BD20,53.895995344403445,403602.4206642067
BD21,54.486741234918384,406117.835971223
BD22,53.84683710295292,403235.83240223466
BD23,54.038261953463206,396681.0438786566
BD24,54.07683428217822,381673.45049504953
BD3,53.79793330743618,417884.3152053274
BD4,53.77672212962963,418445.1172839506
BD5,55.15791018639329,416025.4293948127
BD6,53.76494803080308,414293.9592959296
BD7,53.784287746170676,414523.92888402625
BD8,53.80143006437768,414542.8229613734
BD9,53.81161569060773,414028.38397790055
BD97,53.826485000000005,413479.0
BD98,84.60566611111112,415541.0
BD99,53.79462684210526,415986.8947368421
BH1,51.18212449668874,409763.69585561496
BH10,50.75906378151261,407626.8487394958
BH11,50.89173247011952,405702.18242343544
BH12,50.78023311053985,405415.0797598628
BH13,50.71048492788462,405854.14903846156
BH14,50.722341584470094,403930.7576075551
BH15,51.29334530864198,401160.35047759
BH16,50.738439487704916,396964.2131147541
BH17,50.74581067961165,401967.6907073509
BH18,50.75701536231884,400691.3719806763
BH19,50.61147810526316,402224.4676691729
BH2,50.72186390962672,408473.1237721022
BH20,51.4113814360587,389888.54468085105
BH21,51.32949453846154,402558.7457704618
BH22,50.90659533742332,407909.65676229505
BH23,51.011914370771315,417114.97868480725
BH24,50.8461373047859,415032.5398824517
BH25,50.88781550458715,424182.47102115914
BH3,50.73549609137056,408549.0101522843
BH31,50.98923058004641,409262.6093023256
BH4,50.721706802325585,407114.9186046512
BH5,50.725747923497266,411598.0355191257
BH6,50.727655169014085,413561.7507042253
BH7,50.73454710359408,411800.7357293869
BH8,50.739739889989,410402.8360836084
BH9,50.74981515801355,408927.7144469526
BL0,53.64349215892054,379198.98050974513
BL1,53.58892718436527,370932.3486682809
BL11,53.572274516129035,371928.1612903226
BL2,53.58774653397391,373764.0466712423
BL3,53.566125959206175,371485.9487320838
BL4,53.54745937324602,373348.6230121609
BL5,53.55095089901478,365840.58990147786
BL6,53.591103641456584,364345.2899159664
BL7,53.62814246753247,372121.54545454547
BL78,53.56151214285715,373032.0714285714
BL8,53.60162660051216,378705.83546734956
BL9,53.592245467787116,380974.62408963585
BN1,50.83730482155353,531068.5006997901
BN10,50.8654600141844,541197.5028409091
BN11,50.81372831503842,514546.2508232711
BN12,50.92076645720477,510919.26818675356
BN13,50.83040923234391,512304.68679631525
BN14,50.8307161208577,514170.27192982455
BN15,50.88383201092896,518071.9693654267
BN16,50.81616913352273,505924.98579545453
BN17,50.81543966280295,503148.95995785034
BN18,50.979578504043126,499816.79459459457
BN2,50.824633876773966,533356.7708549671
BN20,50.7741359139785,559080.6139784947
BN21,51.073476454378444,560493.2427603204
BN22,50.78813463137996,561032.763705104
BN23,50.798504217289725,563075.8306074766
BN24,50.90280522202487,563863.7277580071
